Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
60,60,1,1600.0,0,3600.0,-1,29480.971397,0.0,1,1600.0,30,867113.0437320002,SAT,,695.906,
61,61,1,1600.0,0,3600.0,-1,29480.971397,0.0,1,1600.0,30,896594.0151290002,SAT,,399.838,
62,62,1,1600.0,0,3600.0,-1,30575.212746,0.0,1,1600.0,31,927169.2278750002,SAT,,423.826,
63,63,1,1600.0,0,3600.0,-1,30996.941748,0.0,1,1600.0,31,958166.1696230002,SAT,,467.325,
64,64,1,1600.0,0,3600.0,-1,31462.720346,0.0,1,1600.0,32,989628.8899690002,SAT,,240.828,
65,65,1,1600.0,0,3600.0,-1,31703.213061,0.0,1,1600.0,32,1021332.1030300002,SAT,,819.894,
66,66,1,1600.0,0,3600.0,-1,32522.122436,0.0,1,1600.0,33,1053854.2254660001,SAT,,527.999,
67,67,1,1600.0,0,3600.0,-1,33048.298788,0.0,1,1600.0,33,1086902.524254,SAT,,472.771,
68,68,1,1600.0,0,3600.0,-1,33520.419144,0.0,1,1600.0,34,1120422.943398,SAT,,402.072,
69,69,1,1600.0,0,3600.0,-1,33921.801371,0.0,1,1600.0,34,1154344.744769,SAT,,719.526,
70,70,1,1600.0,0,3600.0,-1,34640.341799,0.0,1,1600.0,35,1188985.086568,SAT,,583.047,
71,71,1,1600.0,0,3600.0,-1,35222.494605,0.0,1,1600.0,35,1224207.581173,SAT,,496.309,
72,72,1,1600.0,0,3600.0,-1,35717.933525,0.0,1,1600.0,36,1259925.514698,SAT,,525.853,
73,73,1,1600.0,0,3600.0,-1,36243.007873,0.0,1,1600.0,36,1296168.522571,SAT,,373.461,
74,74,1,1600.0,0,3600.0,-1,36615.90872,0.0,1,1600.0,37,1332784.431291,SAT,,596.993,
75,75,1,1600.0,0,3600.0,-1,37212.034899,0.0,1,1600.0,37,1369996.46619,SAT,,373.167,
76,76,1,1600.0,0,3600.0,-1,37584.258247,0.0,1,1600.0,38,1407580.724437,SAT,,658.209,
77,77,1,1600.0,0,3600.0,-1,38241.47593,0.0,1,1600.0,38,1445822.200367,SAT,,663.036,
78,78,1,1600.0,0,3600.0,-1,38903.466049,0.0,1,1600.0,39,1484725.6664159999,SAT,,536.792,
79,79,1,1600.0,0,3600.0,-1,39439.343833,0.0,1,1600.0,39,1524165.0102489998,SAT,,68.777,
80,80,1,1600.0,0,3600.0,-1,39507.987004,0.0,1,1600.0,40,1563672.9972529998,SAT,,340.164,
81,81,1,1600.0,0,3600.0,-1,39847.617774,0.0,1,1600.0,40,1603520.6150269997,SAT,,516.361,
82,82,1,1600.0,0,3600.0,-1,40363.13607,0.0,1,1600.0,41,1643883.7510969997,SAT,,425.895,
83,83,1,1600.0,0,3600.0,-1,40788.326759,0.0,1,1600.0,41,1684672.0778559998,SAT,,485.642,
84,84,1,1600.0,0,3600.0,-1,41273.139936,0.0,1,1600.0,42,1725945.217792,SAT,,202.824,
85,85,1,1600.0,0,3600.0,-1,41475.536061,0.0,1,1600.0,42,1767420.753853,SAT,,596.299,
86,86,1,1600.0,0,3600.0,-1,42070.710323,0.0,1,1600.0,43,1809491.464176,SAT,,339.876,
87,87,1,1600.0,0,3600.0,-1,42409.875405,0.0,1,1600.0,43,1851901.3395810002,SAT,,401.536,
88,88,1,1600.0,0,3600.0,-1,42810.583556,0.0,1,1600.0,44,1894711.923137,SAT,,357.585,
89,89,1,1600.0,0,3600.0,-1,43167.429072,0.0,1,1600.0,44,1937879.3522090001,SAT,,815.49,
90,90,1,1600.0,0,3600.0,-1,43981.386612,0.0,1,1600.0,45,1981860.738821,SAT,,614.079,
91,91,1,1600.0,0,3600.0,-1,44594.279456,0.0,1,1600.0,45,2026455.0182770002,SAT,,424.57,
92,92,1,1600.0,0,3600.0,-1,45018.13279,0.0,1,1600.0,46,2071473.151067,SAT,,665.635,
93,93,1,1600.0,0,3600.0,-1,45682.666878,0.0,1,1600.0,46,2117155.8179450002,SAT,,597.096,
94,94,1,1600.0,0,3600.0,-1,46278.818804,0.0,1,1600.0,47,2163434.6367490003,SAT,,626.976,
95,95,1,1600.0,0,3600.0,-1,46904.909592,0.0,1,1600.0,47,2210339.546341,SAT,,336.424,
96,96,1,1600.0,0,3600.0,-1,47240.885665,0.0,1,1600.0,48,2257580.432006,SAT,,619.466,
97,97,1,1600.0,0,3600.0,-1,47859.466248,0.0,1,1600.0,48,2305439.898254,SAT,,520.33,
98,98,1,1600.0,0,3600.0,-1,48379.036929,0.0,1,1600.0,49,2353818.9351830003,SAT,,589.988,
99,99,1,1600.0,0,3600.0,-1,48968.126592,0.0,1,1600.0,49,2402787.0617750003,SAT,,780.732,
100,100,1,1600.0,0,3600.0,-1,49747.548817,0.0,1,1600.0,50,2452534.610592,SAT,,546.72,
101,101,1,1600.0,0,3600.0,-1,49747.548817,0.0,1,1600.0,50,2502282.159409,SAT,,436.377,
102,102,1,1600.0,0,3600.0,-1,50728.954364,0.0,1,1600.0,51,2553011.113773,SAT,,222.927,
103,103,1,1600.0,0,3600.0,-1,50951.501665,0.0,1,1600.0,51,2603962.615438,SAT,,488.513,
104,104,1,1600.0,0,3600.0,-1,51439.252917,0.0,1,1600.0,52,2655401.868355,SAT,,565.911,
105,105,1,1600.0,0,3600.0,-1,52003.855718,0.0,1,1600.0,52,2707405.724073,SAT,,695.237,
106,106,1,1600.0,0,3600.0,-1,52697.530045,0.0,1,1600.0,53,2760103.2541179997,SAT,,579.273,
107,107,1,1600.0,0,3600.0,-1,53275.549919,0.0,1,1600.0,53,2813378.8040369996,SAT,,500.177,
108,108,1,1600.0,0,3600.0,-1,53774.617737,0.0,1,1600.0,54,2867153.4217739995,SAT,,633.516,
109,109,1,1600.0,0,3600.0,-1,54406.839896,0.0,1,1600.0,54,2921560.2616699995,SAT,,718.044,
110,110,1,1600.0,0,3600.0,-1,55123.510801,0.0,1,1600.0,55,2976683.7724709995,SAT,,393.618,
111,111,1,1600.0,0,3600.0,-1,55516.358891,0.0,1,1600.0,55,3032200.1313619995,SAT,,659.802,
112,112,1,1600.0,0,3600.0,-1,56174.879884,0.0,1,1600.0,56,3088375.0112459995,SAT,,211.0,
113,113,1,1600.0,0,3600.0,-1,56385.439508,0.0,1,1600.0,56,3144760.4507539994,SAT,,470.802,
114,114,1,1600.0,0,3600.0,-1,56855.299209,0.0,1,1600.0,57,3201615.7499629995,SAT,,604.072,
115,115,1,1600.0,0,3600.0,-1,57458.180909,0.0,1,1600.0,57,3259073.9308719994,SAT,,417.457,
116,116,1,1600.0,0,3600.0,-1,57874.819111,0.0,1,1600.0,58,3316948.749982999,SAT,,517.756,
117,117,1,1600.0,0,3600.0,-1,58391.44615,0.0,1,1600.0,58,3375340.1961329994,SAT,,234.309,
118,118,1,1600.0,0,3600.0,-1,58625.229396,0.0,1,1600.0,59,3433965.4255289994,SAT,,877.322,
119,119,1,1600.0,0,3600.0,-1,59500.774581,0.0,1,1600.0,59,3493466.2001099996,SAT,,356.327,
120,120,1,1600.0,0,3600.0,-1,59856.373421,0.0,1,1600.0,60,3553322.5735309995,SAT,,399.161,
121,121,1,1600.0,0,3600.0,-1,59856.373421,0.0,1,1600.0,60,3613178.9469519993,SAT,,555.244,
122,122,1,1600.0,0,3600.0,-1,60808.812014,0.0,1,1600.0,61,3673987.7589659994,SAT,,501.161,
123,123,1,1600.0,0,3600.0,-1,60808.812014,0.0,1,1600.0,61,3734796.5709799994,SAT,,222.909,
124,124,1,1600.0,0,3600.0,-1,61531.412355,0.0,1,1600.0,62,3796327.9833349995,SAT,,556.627,
125,125,1,1600.0,0,3600.0,-1,61531.412355,0.0,1,1600.0,62,3857859.3956899997,SAT,,456.476,
126,126,1,1600.0,0,3600.0,-1,62542.429832,0.0,1,1600.0,63,3920401.8255219995,SAT,,588.552,
127,127,1,1600.0,0,3600.0,-1,62542.429832,0.0,1,1600.0,63,3982944.2553539993,SAT,,520.585,
128,128,1,1600.0,0,3600.0,-1,63649.35898,0.0,1,1600.0,64,4046593.6143339993,SAT,,471.975,
129,129,1,1600.0,0,3600.0,-1,63649.35898,0.0,1,1600.0,64,4110242.9733139994,SAT,,209.407,
